object_id,rc_area,timeperiod,heat-days-score,land-surface-temperature,year,sum_aged_population,sum_young_population,sum_population,health_centres_count,workers-affected-pct,dtname,dtcode11,net_sown_area_in_hac,avg_electricity,avg_tele,rc_piped_hhds_pct,rc_nosanitation_hhds_pct,total_hhd,district,revenue_circle,women_sugar,men_sugar,women_bp,men_bp,pct_ncd,land-surface-temperature-raster
18-308-00148,9,2021_04,0.0,4,,68.45100000000002,139.15699999999998,3087.0839111328096,1,77.87,DHEMAJI,18-308,230.76,2.957943925233645,2.0,0.0,22.42990654205608,535.0,DHEMAJI,Dhakuakhana (Pt-II),2.22,3.67,4.55,5.35,3.9475,LST_ASSAM_2021_04.tif
18-308-00149,155,2021_04,1.5,4,,272.3110000000015,556.9049999999988,7749.259228515613,2,77.87,0,0,0.0,0.0,0.0,0.0,0.0,0.0,DHEMAJI,Subansiri (Pt-II),2.22,3.67,4.55,5.35,3.9475,LST_ASSAM_2021_04.tif
18-308-00150,396,2021_04,0.0,4,,6476.891999999993,13126.600999999995,141670.4734375002,18,77.87,DHEMAJI,18-308,10916.8151,8.053691518699502,2.0,4.018467269824375,17.061154385795152,41338.0,DHEMAJI,Dhemaji,2.22,3.67,4.55,5.35,3.9475,LST_ASSAM_2021_04.tif
18-308-00151,746,2021_04,0.0,4,,12280.683000000075,24938.275000000023,269039.1546874996,27,77.87,DHEMAJI,18-308,36596.08,8.469356293085896,2.0,2.2488388260275167,19.14911137613078,68758.0,DHEMAJI,Sissibargaon,2.22,3.67,4.55,5.35,3.9475,LST_ASSAM_2021_04.tif
18-308-00152,853,2021_04,0.0,4,,7198.289999999921,14378.255000000005,169706.93593749986,6,77.87,DHEMAJI,18-308,10581.568,7.429793435559498,2.0,1.235694462045368,32.2753537785663,47346.0,DHEMAJI,Jonai,2.22,3.67,4.55,5.35,3.9475,LST_ASSAM_2021_04.tif
18-308-00153,324,2021_04,0.0,4,,5053.402999999991,10198.933999999994,103707.90390625014,19,77.87,DHEMAJI,18-308,28884.14433,8.314618872813647,2.0,3.786741794428849,13.446747462751029,37048.0,DHEMAJI,Gogamukh,2.22,3.67,4.55,5.35,3.9475,LST_ASSAM_2021_04.tif
18-309-00154,851,2021_04,0.75,3,,7628.523999999859,14208.361999999994,105350.51640624995,8,89.01,TINSUKIA,18-309,12329.86,4.476744186046512,2.0,0.268511354844582,38.688390297182906,21973.0,TINSUKIA,Sadiya,4.73,8.08,4.66,5.4,5.717499999999999,LST_ASSAM_2021_04.tif
18-309-00155,937,2021_04,0.0,3,,22061.575999999885,41026.057,470265.1343749994,43,89.01,TINSUKIA,18-309,27131.152,9.426295581920082,2.0,2.613855629958512,20.82184838780115,109912.0,TINSUKIA,Doom Dooma,4.73,8.08,4.66,5.4,5.717499999999999,LST_ASSAM_2021_04.tif
18-309-00156,890,2021_04,0.0,3,,27317.39599999972,49448.29599999997,446927.5718750004,34,89.01,TINSUKIA,18-309,13459.6793,11.186873704215618,2.0,4.931057684001383,18.35879081720801,92608.0,TINSUKIA,Tinsukia,4.73,8.08,4.66,5.4,5.717499999999999,LST_ASSAM_2021_04.tif
18-309-00157,1132,2021_04,0.2941176470588235,3,,18579.882000000216,35103.831000000006,368557.4312500004,34,89.01,TINSUKIA,18-309,15591.31,9.349689566456169,2.0,5.848002806659438,21.683574663519806,94062.0,TINSUKIA,Margherita,4.73,8.08,4.66,5.4,5.717499999999999,LST_ASSAM_2021_04.tif
18-310-00158,723,2021_04,0.0,4,,9588.222999999998,14932.508000000002,189367.21875,25,81.66,DIBRUGARH,18-310,10809.98,9.333883140900683,2.0,1.4394961763382816,14.534912780526817,40014.0,DIBRUGARH,Dibrugarh West,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-310-00159,393,2021_04,0.0,4,,12937.237999999896,20278.258999999995,244857.8125,8,81.66,DIBRUGARH,18-310,12783.38,11.346244227509208,2.0,4.842533816566317,9.607766411410534,85535.0,DIBRUGARH,Dibrugarh East,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-310-00160,658,2021_04,0.0,4,,7403.802999999956,11803.835999999996,175511.3109375001,30,81.66,DIBRUGARH,18-310,16137.29,9.58611383709519,2.0,8.161457924435721,8.833237242394505,32608.0,DIBRUGARH,Chabua,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-310-00161,355,2021_04,0.0,4,,3505.5590000000084,5491.303,253627.26250000007,26,81.66,DIBRUGARH,18-310,3069.5,12.425858035683111,2.0,6.488490974477148,6.390478684403478,28641.0,DIBRUGARH,Tengakhat,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-310-00162,395,2021_04,0.0,4,,7363.489999999991,11475.305000000022,181561.1328125,32,81.66,DIBRUGARH,18-310,12660.087,9.215314230676618,2.0,2.9289975921020948,21.81058752708885,41530.0,DIBRUGARH,Moran,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-310-00163,391,2021_04,0.0,4,,7952.776000000013,12418.027999999998,194950.97812500017,20,81.66,DIBRUGARH,18-310,13735.2,9.569697116902674,2.0,4.131548905783197,9.951179228097446,41171.0,DIBRUGARH,Tingkhong,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-310-00164,464,2021_04,0.0,4,,14609.253999999955,22673.247,247141.546875,28,81.66,DIBRUGARH,18-310,12242.01,10.054100038073482,2.0,1.3267682752712735,18.44646154578336,42024.0,DIBRUGARH,Naharkatiya,6.56,8.95,4.3,4.3,6.0275,LST_ASSAM_2021_04.tif
18-311-00165,478,2021_04,0.0,5,,6952.44399999996,9635.495999999996,195121.1765625002,27,82.09,SIVASAGAR,18-311,12222.63595,9.51390511801823,3.0,0.7547430604242943,8.785336657059021,38511.0,SIVASAGAR,Dimow,6.22,8.8,5.94,6.82,6.945,LST_ASSAM_2021_04.tif
18-311-00166,388,2021_04,0.0,5,,13172.275999999954,18059.142,189806.8187500001,36,82.09,SIVASAGAR,18-311,13807.62,10.841908706021558,2.0,4.309774260940302,4.173266283347816,54089.0,SIVASAGAR,Sibsagar,6.22,8.8,5.94,6.82,6.945,LST_ASSAM_2021_04.tif
18-311-00167,315,2021_04,0.0,5,,8659.977999999886,11881.684999999998,155695.475,36,82.09,SIVASAGAR,18-311,8807.44,10.38047551148987,2.0,10.050734489504924,13.84753125310873,30157.0,SIVASAGAR,Amguri,6.22,8.8,5.94,6.82,6.945,LST_ASSAM_2021_04.tif
18-311-00168,386,2021_04,0.0,5,,13591.907000000008,18938.81799999997,237671.2828124999,44,82.09,SIVASAGAR,18-311,8258.07,10.775684549747664,2.0,12.12736172196437,9.021038123999272,49339.0,SIVASAGAR,Nazira,6.22,8.8,5.94,6.82,6.945,LST_ASSAM_2021_04.tif
18-312-00169,450,2021_04,0.0,4,,8069.17200000002,9658.527999999991,156039.56093749986,23,73.71,JORHAT,18-312,11808.28,7.948533649492005,2.0,8.905323156976074,17.603199459895603,60729.0,JORHAT,Teok,7.32,9.27,7.11,6.42,7.529999999999999,LST_ASSAM_2021_04.tif
18-312-00170,419,2021_04,0.0,4,,11246.407000000125,13462.469000000012,271146.48437500006,33,73.71,JORHAT,18-312,17791.57,8.68374592208789,2.0,14.388808050278255,17.858743523316065,41688.0,JORHAT,Titabor,7.32,9.27,7.11,6.42,7.529999999999999,LST_ASSAM_2021_04.tif
18-312-00171,437,2021_04,0.0,4,,9727.704000000029,11607.235999999995,157518.90625,9,73.71,JORHAT,18-312,2791.1,11.63672131147541,2.0,5.80015519125683,6.456123861566485,13725.0,JORHAT,Mariani,7.32,9.27,7.11,6.42,7.529999999999999,LST_ASSAM_2021_04.tif
18-313-00172,850,2021_04,0.0,5,,11284.065999999992,18216.149000000005,211932.5265625008,23,73.24,GOLAGHAT,18-313,3652.03,8.517309425121644,3.0,5.429807172463507,7.354478284375563,55490.0,GOLAGHAT,Bokakhat,4.67,6.56,6.88,6.25,6.09,LST_ASSAM_2021_04.tif
18-313-00173,473,2021_04,0.0,5,,8702.396999999997,13706.241000000038,119407.07109374924,14,73.24,GOLAGHAT,18-313,3788.95,8.183741425066346,2.0,7.5209053127034196,13.769966451354463,19971.0,GOLAGHAT,Khumtai,4.67,6.56,6.88,6.25,6.09,LST_ASSAM_2021_04.tif
18-313-00174,323,2021_04,0.0,5,,8137.991000000038,12345.72400000001,154257.77656250005,30,73.24,GOLAGHAT,18-313,11232.05,9.92729823203618,3.0,17.726809683894842,16.993348973323336,41347.0,GOLAGHAT,Dergaon,4.67,6.56,6.88,6.25,6.09,LST_ASSAM_2021_04.tif
18-313-00175,658,2021_04,0.0,5,,24268.814000000013,37175.14599999999,408184.5843749996,46,73.24,GOLAGHAT,18-313,49220.056604,9.5910849578042,2.0,5.47609587748389,16.058809889724714,74178.0,GOLAGHAT,Golaghat,4.67,6.56,6.88,6.25,6.09,LST_ASSAM_2021_04.tif
